participant,Sampler,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,lambda_A,lambda_B,train_error
6363339,CMA-ES,0.1642286480967687,0.28447851348029646,0.7158097672041189,0.30779659261694975,0.3742475840292913,0.19375031370926868,0.47254050632086464,0.12642677814160197,0.0605081749496831,0.01292025285301474
6363334,CMA-ES,0.14961207538564308,0.224055779688051,0.48826800234887174,0.431990586107347,0.6575858820289253,5.0735137058327755,0.9575015076649309,0.005452579558829676,0.0,0.010185611204548323
6363353,CMA-ES,0.15143793649040677,0.18591124769357645,0.7057797762274254,0.6787018878671315,0.014714510229045772,5.779596420256242,0.7900630507751547,0.0,0.0056433459010231,0.009742554036965449
6363338,CMA-ES,0.10882115958640669,0.06630665129115212,0.42051072892786334,0.26386495151126677,0.45072264655008476,2.750142318855208,0.6970118444000752,0.18052293194658697,0.12654117163294798,0.04822812237361377
6363346,CMA-ES,0.19878078798955137,0.1645366005423226,0.5588331234039979,0.6055033287790843,0.5650032413384434,7.768795786087756,0.7668641767806683,0.058228779878249134,0.1083082471002752,0.01662910756786762
6363343,CMA-ES,0.13808940608176062,0.13662959576501935,0.6834497663843886,0.18553667747937574,0.3723784455629269,9.636169869437373,0.6443886664173664,0.004099641119653223,0.0,0.006684069969450545
6363329,CMA-ES,0.05774173100037204,0.31793756644727844,0.6185222785158478,0.42479003518231445,0.2668989149308936,6.1906622796854425,0.5933233538310008,0.0077230689259081406,0.0,0.004881980142389729
6363354,CMA-ES,0.11355932837130082,0.35760456799247187,0.503456598445834,0.13476596594613469,0.5440650441131121,0.648410342811707,0.6623916460497703,0.022512107143391517,0.0,0.01381077294361163
6363347,CMA-ES,0.11466243956271119,0.27866588528340497,0.4624425888915106,0.19477936647947117,0.13687914554373087,5.183353334597946,0.36483936569832387,0.06056359302400325,0.03467044582926396,0.015423174495884838
6363328,CMA-ES,0.02506946573785608,0.14346716077638366,0.28532493126103153,0.6792489552138539,0.0686930857620697,2.2890772150201917,0.7004247375979992,0.010157170479561122,0.022085324032138715,0.008567127102129233
6363330,CMA-ES,0.08053100533573661,0.3545791819442614,0.3263464640030977,0.253844740388994,0.012199226555243291,6.556833057279068,0.6597170275642745,0.05173699945230845,0.03204113875802922,0.01979182879395052
6363341,CMA-ES,0.0712730237243087,0.4280234184309424,0.7500945449462989,0.29910579053178066,0.6177857369229789,9.269927246024414,0.8270937787935163,0.011976063466986285,0.045340106494344154,0.04645957824532578
6363407,CMA-ES,0.021954180217596594,0.190560473044139,0.47533393585205114,0.30487759632967465,0.38662335753640226,6.516127315024512,0.5807969666339875,0.008608115960945911,0.020065347351431447,0.0057466983760345045
6363430,CMA-ES,0.08768929444520883,0.3051795834431586,0.41016812064141617,0.23252054793001392,0.014364583584213105,6.8338063670107445,0.5155126209301814,0.0,0.00441792513672875,0.010015680434387648
6363368,CMA-ES,0.22852426488748065,0.2564208968451315,0.44803281880414925,0.27030074909674306,0.2626358860836019,7.417767178973226,0.5130725944387982,0.04728830542372138,0.08058930401244713,0.024330165381687297
6363349,CMA-ES,0.14656569343885537,0.33988776627763084,0.3260111183105222,0.22634404665074928,0.20529786286801716,6.976084382391023,0.7106199881469119,0.052645306644026,0.06782769850408124,0.01562750550036789
6363364,CMA-ES,0.08245964787413217,0.24607355407985343,0.5027988523719297,0.35396310097937383,0.40796710873464903,3.7572789481402844,0.8996335066645971,0.0,0.0,0.017786538474232314
6269773,CMA-ES,0.013937471183580966,0.18688983651008756,0.34909918060191014,0.33875194078243837,0.6530767048991939,5.668833291196505,0.7477265048352566,0.010661751510654204,0.0,0.0038865993557642346
6269770,CMA-ES,0.10484548085416763,0.4595076903669866,0.7707255623687888,0.39853177110790394,0.6883179485447519,0.3884827149955067,0.9796455999991486,0.022114935459120192,0.008210175961461862,0.011614382877140492
6269757,CMA-ES,0.1181600274991355,0.2640884217428468,0.8420053835181739,0.4860711860944819,0.33600138997187307,4.726865669841928,0.6936729778887482,0.14201947641755827,0.14362929414010145,0.018614409641872873
6269881,CMA-ES,0.10530353589144831,0.11609205758268706,0.5639183798937517,0.47671119338154344,0.341825856423282,7.853357591784314,0.9638781738637086,0.021179624159410212,0.021179919049734222,0.007610321934329177
6357507,CMA-ES,0.15080949513232522,0.1352123442715747,0.3395981089425766,0.09385374188226428,0.6704061926772118,3.417987347370989,0.8477205188886267,0.17874193558317564,0.15091731192143235,0.05737634025550587
6357495,CMA-ES,0.09354630237084118,0.26088798009541336,0.680187607758019,0.39805762138330725,0.2496326691205576,6.671813135203097,0.7865761811463415,0.01327789381400303,0.011034071629684715,0.019775448925456678
6357501,CMA-ES,0.2294067692132686,0.37681651026140517,0.6057744792893526,0.34269590103856884,0.326281614819102,6.839196077313447,0.896162445768363,0.10021411128964718,0.10333212337823078,0.016006857395425372
6357497,CMA-ES,0.04545255774073471,0.22664171729437027,0.604156262922198,0.09175755964508271,0.5204435013351558,6.273914152586469,0.7663103471284433,0.02999153936730478,0.00793719119466465,0.019916490333793214
6357556,CMA-ES,0.11808405379299486,0.41365456570458786,0.704767826422571,0.2515612390580103,0.23192838936316898,3.1438897368492555,0.5967253877978344,0.02130141788557416,0.016292724997571204,0.010823908506803051
6357698,CMA-ES,0.019338438468473475,0.30040171143888345,0.5074422728616411,0.4000224788994442,0.630074646905355,6.441798435553156,0.6473278970147726,0.09220007934413825,0.047874146419159984,0.021205464968615275
6357829,CMA-ES,0.13202238576955755,0.10265301907022993,0.9178553288517569,0.40843433498622383,0.5022668107595151,6.933588736354443,0.8324451445331856,0.004625702698648317,0.0,0.00852716674800192
6363339,TPE,0.09075693193877106,0.4042083298145548,0.6230335263995076,0.27227547613830805,0.244155664750557,4.993920835299164,0.507555080984297,0.12642677814160197,0.0605081749496831,0.010744330573210444
6363334,TPE,0.11342784012228635,0.24830332316911058,0.08376634093524017,0.40357436295070775,0.10223591099181994,8.05062182007491,0.9957898366265077,0.005452579558829676,0.0,0.008252410210191265
6363353,TPE,0.15292938666817663,0.1389329267783243,0.7178161613733871,0.13918257587693103,0.19151101852189154,4.126700482947737,0.7169220420412393,0.0,0.0056433459010231,0.007612069336304117
6363338,TPE,0.12427725110378973,0.2901042284027233,0.5146380134299651,0.379545365645697,0.046259209468254125,3.3318342696902477,0.7713562338237689,0.18052293194658697,0.12654117163294798,0.04789064777268378
6363346,TPE,0.2257968350082637,0.26954133560112425,0.6493735709556401,0.4134022115954117,0.6976899910161399,9.158075675015157,0.6176578381458855,0.058228779878249134,0.1083082471002752,0.0175970249233842
6363343,TPE,0.09839564100787684,0.33673375497153085,0.44606015832927576,0.2613966146791887,0.8079779558371687,0.5117677952506878,0.3720785256845038,0.004099641119653223,0.0,0.009290800747447932
6363329,TPE,0.04282643674860857,0.21236498267084422,0.4048670992686637,0.20372325230520452,0.602932871270074,7.581192293402507,0.49233426092069077,0.0077230689259081406,0.0,0.0041379536395905305
6363354,TPE,0.10190059726743272,0.46967402883438064,0.5092096366421022,0.1459616283876978,0.34326422164768555,8.568777826080048,0.7410692819813337,0.022512107143391517,0.0,0.009975426760744472
6363347,TPE,0.0934195793924933,0.3642294431940534,0.8036346147474115,0.2612019846142117,0.24333582408797758,3.3555557224327086,0.5128888123159048,0.06056359302400325,0.03467044582926396,0.015566320272487135
6363328,TPE,0.08769751299476944,0.11516213610628467,0.581064398701306,0.3498201509841003,0.7575359296499555,6.312476372009793,0.8498359285843542,0.010157170479561122,0.022085324032138715,0.00850876204422263
6363330,TPE,0.09848108262311023,0.3870815009665987,0.4782243129519744,0.2523925058417263,0.2305747826090121,4.149189343739918,0.9019671227671284,0.05173699945230845,0.03204113875802922,0.015241626490326387
6363341,TPE,0.10150596367464434,0.48885515517206657,0.19506884055115487,0.11972650620670655,0.17676463342789722,1.9005046791776645,0.4050019855472131,0.011976063466986285,0.045340106494344154,0.023299657104535937
6363407,TPE,0.03935347482374645,0.040978651272173275,0.5806880643698024,0.3746352170865695,0.11043280090120165,6.280882834220799,0.8547788706409468,0.008608115960945911,0.020065347351431447,0.004954053929414992
6363430,TPE,0.11214426812894057,0.37374941796050154,0.4706752758087389,0.2693486902283663,0.5815810634619785,9.666741605301315,0.953157493969843,0.0,0.00441792513672875,0.0097515327046814
6363368,TPE,0.18957866187386246,0.14674751368803035,0.5861057304261327,0.42163406996691966,0.13640182351873098,4.733192728154718,0.38672970656060435,0.04728830542372138,0.08058930401244713,0.024525465583599464
6363349,TPE,0.1470957109751576,0.29478060708360354,0.8243303235412637,0.4430460041035027,0.3948392701011247,4.325999359350475,0.9648337205797759,0.052645306644026,0.06782769850408124,0.01595853483694053
6363364,TPE,0.13702824318815437,0.4437609954484096,0.7178760697211652,0.13608641655740303,0.4596584349063857,5.984145475476227,0.8778099758486448,0.0,0.0,0.008091740594874133
6269773,TPE,0.07134649791745128,0.27645682176353875,0.5148512872117604,0.650529427925561,0.6726708592641301,2.1861690750673115,0.8637235209913607,0.010661751510654204,0.0,0.003465909784264482
6269770,TPE,0.09901058987433109,0.49993133248126026,0.41573558040683545,0.2041295470094529,0.31013896296740084,6.621976732054416,0.9561959672785814,0.022114935459120192,0.008210175961461862,0.008205648345479608
6269757,TPE,0.12641195993202742,0.33930360710553303,0.9397830178128563,0.2729764460552378,0.5473089118657524,9.295416445254515,0.4513285274233305,0.14201947641755827,0.14362929414010145,0.01874334521039981
6269881,TPE,0.16565006603971455,0.33775111108134614,0.8799177609401989,0.24611618141323996,0.4405558564059089,8.82257046485767,0.6367337315683272,0.021179624159410212,0.021179919049734222,0.007582915028799481
6357507,TPE,0.16850444456279806,0.4761560850815944,0.9585099237700068,0.27269349047677915,0.31683976150972165,3.359377115032793,0.9967270191161028,0.17874193558317564,0.15091731192143235,0.05693613298028328
6357495,TPE,0.11172412131150652,0.19809824189833172,0.08117429279538214,0.15794330081569877,0.2668761658544409,2.644424270500242,0.4006365565452861,0.01327789381400303,0.011034071629684715,0.015792714571747284
6357501,TPE,0.22120192005400915,0.4522976711159359,0.46169101969435467,0.29694836448172085,0.5294607070563303,2.8087201801428248,0.8091651308305361,0.10021411128964718,0.10333212337823078,0.015151908626572706
6357497,TPE,0.0666701072553395,0.3297066301275806,0.2901258685837592,0.14365913170084565,0.13011174214013466,4.9336658215130385,0.7124702306319733,0.02999153936730478,0.00793719119466465,0.010378930249631435
6357556,TPE,0.09503781650344437,0.4346579493494764,0.362592104047451,0.1602808782937236,0.4254405148286777,0.7307721733927446,0.575361074464194,0.02130141788557416,0.016292724997571204,0.00860476011197958
6357698,TPE,0.03398140653227984,0.3850714539951203,0.5097464508879544,0.46027920127760763,0.3804221883050571,3.5992680114115885,0.6776686010770065,0.09220007934413825,0.047874146419159984,0.022095922700563302
6357829,TPE,0.11813946833869789,0.17333064297878548,0.7497477340139621,0.11103547354004846,0.04929017573303962,6.6374650918036995,0.11975981076884142,0.004625702698648317,0.0,0.004572337822749386
