participant,Sampler,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,lambda_A,lambda_B,train_error
6363339,CMA-ES,0.2173415699197314,0.15306516686485216,0.5893525087817663,0.2065655938126863,0.07602441129983152,6.167084400669677,0.3595471525904297,0.12642677814160197,0.0605081749496831,0.010987203688633535
6363334,CMA-ES,0.16605231713567417,0.2523399684579227,0.030712813259595628,0.3654361761674879,0.10752507940736691,4.421939858892664,0.7483864242260156,0.005452579558829676,0.0,0.008391609183513239
6363353,CMA-ES,0.09664719140499994,0.33232039804600505,0.6166014950944281,0.2948457170827565,0.056774425826438206,5.28254462637186,0.2091419058079048,0.0,0.0056433459010231,0.006289940819432065
6363338,CMA-ES,0.07217793268504685,0.40893620121068003,0.5223328115952383,0.5181364398762046,0.12239770980263837,3.261600739382781,0.33152741469112834,0.18052293194658697,0.12654117163294798,0.046824286701357444
6363346,CMA-ES,0.1940292490366445,0.39238576577322165,0.5143671187003246,0.45678127221337356,0.14513862266968933,5.1234700820017505,0.39028096696475273,0.058228779878249134,0.1083082471002752,0.01900949576831378
6363343,CMA-ES,0.13409210740118022,0.14121140378377028,0.6086530400894649,0.28694703883540645,0.07979169090732655,2.8780953206576574,0.35171614729596995,0.004099641119653223,0.0,0.006647214336435671
6363329,CMA-ES,0.049856790388741995,0.2290200936569476,0.03814471894140645,0.26686220363934565,0.04534027142205286,6.052885562240866,0.4591015132383597,0.0077230689259081406,0.0,0.003535153846199647
6363354,CMA-ES,0.12041361017990435,0.4119276231575586,0.09253960235595046,0.23220479658098417,0.07807016980535389,6.337313742003236,0.5453839567999723,0.022512107143391517,0.0,0.013678130892135395
6363347,CMA-ES,0.15133974205600337,0.17205101505003362,0.542735079441482,0.2259385099084379,0.14978054010469646,2.9600978387053436,0.5966029604717449,0.06056359302400325,0.03467044582926396,0.013548407185466745
6363328,CMA-ES,0.020189517853915692,0.25070762866399227,0.21118878843516492,0.3925018843188571,0.060549643776309225,7.582995078596566,0.6759244469122723,0.010157170479561122,0.022085324032138715,0.007352141537774161
6363330,CMA-ES,0.11452325995222555,0.4762877051499076,0.5049691286280036,0.281584625872882,0.03174132909886745,5.357092146763878,0.33246273326734344,0.05173699945230845,0.03204113875802922,0.016353419847790887
6363341,CMA-ES,0.13745239507875462,0.4231088419749577,0.4215871626530699,0.20679981457638083,0.09117679991261385,2.8111702660554725,0.6194704140700856,0.011976063466986285,0.045340106494344154,0.03538792501578128
6363407,CMA-ES,0.06336172843958786,0.030821775433671914,0.6594727226050053,0.2419531643875911,0.06722564839945698,0.9786396358771285,0.8035452046556752,0.008608115960945911,0.020065347351431447,0.004970660165822295
6363430,CMA-ES,0.08501955509528965,0.4056003209353783,0.3660600104428005,0.20789706765107577,0.024212775889990313,8.835712081953215,0.6845579937123666,0.0,0.00441792513672875,0.011198885421720256
6363368,CMA-ES,0.20408280926148992,0.25060576819586494,0.5491233057069891,0.4201500751950221,0.1328213126578575,7.199750164836374,0.306665406643052,0.04728830542372138,0.08058930401244713,0.023736353697978222
6363349,CMA-ES,0.11186688740953021,0.40057302532637706,0.4354001119805541,0.18620610846119068,0.07703813869536075,6.108796246787885,0.7493121506305632,0.052645306644026,0.06782769850408124,0.013766011056883692
